"cty","dist","vil","vil.pay","fam.num","t.pay","med.pay","Q1.pay","Q3.pay","sd.pay","var.pay"
"臺北市","南港區","萬福里",997,1456,1451661,669,384,1215,1292.81,129.67
"臺北市","南港區","仁福里",1166,1777,2072200,690,409,1295,7292.49,625.36
"臺北市","南港區","重陽里",1743,1524,2656948,1149,573,2157,2158.54,123.81
"臺北市","內湖區","紫陽里",1197,2842,3401023,786,419,1516,1445.25,120.77
"臺北市","內湖區","紫星里",1056,2698,2850360,690,392,1258,1448.8,137.14
"臺北市","內湖區","湖興里",1152,2753,3172021,763,423,1375,1629.8,141.45
"臺北市","內湖區","大湖里",1867,2042,3811643,945,487,1785,11900.62,637.55
"臺北市","內湖區","紫雲里",1020,1771,1805625,712,391,1331,1029.8,101
"臺北市","內湖區","瑞陽里",1222,2625,3208164,771,427,1513,1606.75,131.47
"臺北市","內湖區","清白里",1504,3004,4518520,926,472,1894,2014.62,133.94
"臺北市","內湖區","港墘里",1184,2103,2489824,773,416,1492,1479.21,124.94
"臺北市","內湖區","西湖里",987,2574,2540898,677,394,1186,1595.06,161.58
"臺北市","內湖區","石潭里",1310,1143,1497195,795,435,1439,2130.69,162.66
"臺北市","內湖區","葫洲里",1524,2656,4046794,990,491,1892,2079.62,136.49
"臺北市","內湖區","五分里",919,3231,2969048,690,404,1175,847.16,92.19
"臺北市","內湖區","內湖里",1130,2161,2442230,749,388,1379,1509.68,133.58
"臺北市","內湖區","週美里",1312,2403,3152990,717,396,1456,3120.46,237.82
"臺北市","內湖區","內溝里",1009,1507,1520651,721,387,1262,1111.96,110.2
"臺北市","內湖區","碧山里",1110,2263,2512567,699,404,1331,2124.17,191.32
"臺北市","內湖區","瑞光里",1067,1559,1663658,727,423,1348,1262.42,118.3
"臺北市","內湖區","金龍里",933,1811,1689796,672,393,1183,1222.64,131.03
"臺北市","內湖區","行善里",886,2168,1921759,634,380,1136,851.83,96.1
"臺北市","內湖區","湖濱里",1458,2821,4112062,842,429,1687,2340.99,160.6
"臺北市","內湖區","東湖里",923,2713,2504016,664,384,1187,920.24,99.7
"臺北市","內湖區","樂康里",894,2742,2452504,679,412,1150,769.19,86
"臺北市","內湖區","西安里",1103,2426,2676771,731,414,1388,1437.03,130.24
"臺北市","內湖區","西康里",1320,3286,4338541,791,420,1553,2235.38,169.31
"臺北市","內湖區","港富里",1157,3054,3533729,709,380,1391,1783.78,154.16
"臺北市","內湖區","港華里",1142,3033,3462574,711,418,1387,1728.74,151.43
"臺北市","內湖區","港都里",1179,1910,2251582,711,394,1403,2108.03,178.82
"臺北市","內湖區","金瑞里",1051,2274,2390207,687,404,1269,2209.47,210.21
"臺北市","內湖區","湖元里",1181,2038,2407296,719,404,1372,1846.2,156.3
"臺北市","內湖區","安湖里",1161,2446,2838771,766,412,1432,1810.94,156.04
"臺北市","內湖區","秀湖里",1597,2268,3621370,886,435,1839,2983.39,186.84
"臺北市","內湖區","安泰里",897,1715,1538276,641,381,1159,948.76,105.78
"臺北市","內湖區","金湖里",2305,3232,7449577,1272,589,2663,4368.46,189.53
